disp,Ry,Time
0.031349291,17.67402297,0.940478739
0.08524283,448.6013393,2.557284905
0.165461156,693.8874789,4.96383469
0.258021833,976.7399517,7.740654978
0.451294974,1246.310499,13.53884921
0.758095498,1465.027228,22.74286493
1.084264338,1604.181666,32.52793013
1.354232398,1679.260126,40.62697193
1.586603546,1732.247447,47.59810639
1.869317029,1780.803754,56.07951086
2.221338089,1809.455241,66.64014266
2.491737019,1816.025318,74.75211057
2.711932606,1804.926933,81.35797819
2.856614694,1800.475069,85.69844081
2.995132555,1776.135065,89.85397666
2.9959387,1647.958092,89.87816099
3.054210437,1382.751844,91.62631311
3.086171286,1300.976825,92.58513859
3.193256462,1274.433822,95.79769387
3.759378379,1261.049044,112.7813514
4.212362087,1236.639545,126.3708626
4.520649808,1218.891857,135.6194942
4.772278081,1209.99647,143.1683424
4.979978429,1185.641177,149.3993529
5.131408501,1108.259645,153.942255
5.282963665,1010.988583,158.48891
5.365100059,951.3019233,160.9530018
5.484916759,900.4467152,164.5475028
5.654922902,869.4699183,169.6476871
5.894208825,823.0081977,176.8262647
6.271970912,758.8363165,188.1591274
6.630865049,694.6686051,198.9259515
6.81339423,672.5288197,204.4018269
