time,Rx_left,Rx_right,p,separation
0,0,0,0,0
0.00025,-0.039217745909154,0.038991495909117,0.00025,4.4512892614194e-09
0.0005,-0.078213676463621,0.077987426463579,0.00025,8.8859345791021e-09
0.00075,-0.11720960701809,0.11698335701805,0.00025,1.3320579896785e-08
0.001,-0.15620553757256,0.15597928757252,0.00025,1.7755225214468e-08
0.00125,-0.19520146812702,0.19497521812698,0.00025,2.218987053215e-08
0.0015,-0.23419739868149,0.23397114868147,0.00025,2.6624515849833e-08
0.00175,-0.27319332923596,0.27296707923591,0.00025,3.1059161167516e-08
0.002,-0.31218925979042,0.31196300979039,0.00025,3.5493806485199e-08
0.00225,-0.35118519034489,0.35095894034485,0.00025,3.9928451802881e-08
0.0025,-0.39018112089936,0.38995487089932,0.00025,4.4363097120564e-08
0.00275,-0.42917705145383,0.42895080145379,0.00025,4.8797742438247e-08
0.003,-0.46817298200829,0.46794673200826,0.00025,5.323238775593e-08
0.00325,-0.50716891256276,0.50694266256273,0.00025,5.7667033073612e-08
0.0035,-0.54616484311723,0.54593859311718,0.00025,6.2101678391295e-08
0.00375,-0.5851607736717,0.58493452367166,0.00025,6.6536323708978e-08
0.004,-0.62415670422616,0.62393045422613,0.00025,7.097096902666e-08
0.00425,-0.66315263478063,0.66292638478059,0.00025,7.5405614344343e-08
0.0045,-0.7021485653351,0.70192231533509,0.00025,7.9840259662026e-08
0.00475,-0.74114449588956,0.74091824588952,0.00025,8.4274904979709e-08
0.005,-0.78014042644403,0.779914176444,0.00025,8.8709550297392e-08
0.00525,-0.8191363569985,0.81891010699848,0.00025,9.3144195615074e-08
0.0055,-0.85813228755297,0.8579060375529,0.00025,9.7578840932757e-08
0.00575,-0.89712821810743,0.8969019681074,0.00025,1.0201348625044e-07
0.006,-0.9361241486619,0.93589789866186,0.00025,1.0644813156812e-07
0.00625,-0.97512007921637,0.97489382921632,0.00025,1.108827768858e-07
0.0065,-1.0141160097708,1.0138897597708,0.00025,1.1531742220349e-07
0.00675,-1.0531119403253,1.0528856903253,0.00025,1.1975206752117e-07
0.007,-1.0921078708798,1.0918816208797,0.00025,1.2418671283885e-07
0.00725,-1.1311038014342,1.1308775514342,0.00025,1.2862135815654e-07
0.0075,-1.1700997319887,1.1698734819887,0.00025,1.3305600347422e-07
0.00775,-1.2090956625432,1.2088694125431,0.00025,1.374906487919e-07
0.008,-1.2480915930976,1.2478653430976,0.00025,1.4192529410958e-07
0.00825,-1.2870875236521,1.2868612736521,0.00025,1.4635993942727e-07
0.0085,-1.3260834542066,1.3258572042065,0.00025,1.5079458474495e-07
0.00875,-1.365079384761,1.364853134761,0.00025,1.5522923006263e-07
0.009,-1.4040753153155,1.4038490653155,0.00025,1.5966387538032e-07
0.00925,-1.44307124587,1.4428449958699,0.00025,1.64098520698e-07
0.0095,-1.4820671764244,1.4818409264244,0.00025,1.6853316601568e-07
0.00975,-1.5210631069789,1.5208368569788,0.00025,1.7296781133336e-07
0.01,-1.5600590375334,1.5598327875333,0.00025,1.7740245665105e-07
0.01025,-1.5990549680878,1.5988287180878,0.00025,1.8183710196873e-07
0.0105,-1.6380508986423,1.6378246486423,0.00025,1.8627174728641e-07
0.01075,-1.6770468291968,1.6768205791968,0.00025,1.9070639260409e-07
0.011,-1.7160427597512,1.7158165097512,0.00025,1.9514103792178e-07
0.01125,-1.7550386903057,1.7548124403057,0.00025,1.9957568323946e-07
0.0115,-1.7940346208602,1.7938083708601,0.00025,2.0401032855714e-07
0.01175,-1.8330305514146,1.8328043014147,0.00025,2.0844497387483e-07
0.012,-1.8720264819691,1.8718002319691,0.00025,2.1287961919251e-07
0.01225,-1.9110224125236,1.9107961625236,0.00025,2.1731426451019e-07
0.0125,-1.950018343078,1.9497920930779,0.00025,2.2174890982787e-07
0.01275,-1.9890142736325,1.9887880236325,0.00025,2.2618355514556e-07
0.013,-2.028010204187,2.027783954187,0.00025,2.3061820046324e-07
0.01325,-2.0670061347414,2.0667798847414,0.00025,2.3505284578092e-07
0.0135,-2.1060020652959,2.1057758152959,0.00025,2.394874910986e-07
0.01375,-2.1449979958504,2.1447717458503,0.00025,2.4392213641629e-07
0.014,-2.1839939264049,2.1837676764048,0.00025,2.4835678173397e-07
0.01425,-2.2229898569593,2.2227636069593,0.00025,2.5279142705165e-07
0.0145,-2.2619857875138,2.2617595375138,0.00025,2.5722607236934e-07
0.01475,-2.3009817180683,2.3007554680682,0.00025,2.6166071768702e-07
0.015,-2.3399776486227,2.3397513986226,0.00025,2.660953630047e-07
0.01525,-2.3789735791772,2.3787473291772,0.00025,2.7053000832238e-07
0.0155,-2.4179695097317,2.4177432597316,0.00025,2.7496465364007e-07
0.01575,-2.4569654402861,2.4567391902861,0.00025,2.7939929895775e-07
0.016,-2.4959613708406,2.4957351208406,0.00025,2.8383394427543e-07
0.01625,-2.5349573013951,2.534731051395,0.00025,2.8826858959311e-07
0.0165,-2.5739532319495,2.5737269819495,0.00025,2.927032349108e-07
0.01675,-2.612949162504,2.6127229125039,0.00025,2.9713788022848e-07
0.017,-2.6519450930585,2.6517188430585,0.00025,3.0157252554616e-07
0.01725,-2.6909410236129,2.6907147736128,0.00025,3.0600717086385e-07
0.0175,-2.7299369541674,2.7297107041674,0.00025,3.1044181618153e-07
0.01775,-2.7689328847219,2.7687066347217,0.00025,3.1487646149921e-07
0.018,-2.8079288152763,2.8077025652764,0.00025,3.1931110681689e-07
0.01825,-2.8469247458308,2.8466984958307,0.00025,3.2374575213458e-07
0.0185,-2.8859206763853,2.8856944263853,0.00025,3.2818039745226e-07
0.01875,-2.9249166069397,2.9246903569397,0.00025,3.3261504276994e-07
0.019,-2.9639125374942,2.9636862874941,0.00025,3.3704968808763e-07
0.01925,-3.0029084680487,3.0026822180486,0.00025,3.4148433340531e-07
0.0195,-3.0419043986031,3.0416781486031,0.00025,3.4591897872299e-07
0.01975,-3.0478902783086,3.046688563671,0.0012158431595187,3.3605872872974e-06
0.02,-3.0137742750988,3.009782803743,0.0040547302428328,1.5904246096684e-05
0.02025,-2.9778088885684,2.9708361545871,0.0070930190344279,3.7587065346583e-05
0.0205,-2.9404469504313,2.9303632733974,0.010266260468396,6.9245918104228e-05
0.02075,-2.9020647410876,2.888796084482,0.013516791420993,0.00011129051901783
0.021,-2.8630202963648,2.8465181530933,0.016818366055504,0.00016397478229898
0.02125,-2.8235222557185,2.80375311751,0.020155425215754,0.00022747633885982
0.0215,-2.7836943035363,2.7606339396528,0.023518534031434,0.00030193747854286
0.02175,-2.7436141198512,2.7172442206338,0.026901636034356,0.00038748104255689
0.022,-2.7033329540038,2.6736392368221,0.030300642630212,0.00048421840061962
0.02225,-2.6628860409437,2.6298570820484,0.033712674677483,0.00059225396816583
0.0225,-2.622298402249,2.5859248675957,0.037135634411071,0.00071168806620666
0.02275,-2.5815882800235,2.5418624348945,0.040567946613638,0.00084261872839641
0.023,-2.5407692368169,2.4976845753891,0.04400840157172,0.00098514310478096
0.02325,-2.4998515277372,2.4534025440685,0.047456047893181,0.0011393583222816
0.0235,-2.4588429894188,2.4090249802866,0.050910126017711,0.0013053623353137
0.02375,-2.4177496668824,2.3645586072166,0.054370018022919,0.0014832544491291
0.024,-2.3765762402692,2.3200086708706,0.057835215481045,0.0016731358970586
0.02425,-2.3353263453143,2.2753793059419,0.061305292950749,0.0018751101972922
0.0245,-2.294002798332,2.2306737628931,0.064779891108748,0.0020892836019486
0.02475,-2.2526077698645,2.1858945949435,0.068258702946758,0.0023157654614239
0.025,-2.2111429253147,2.1410438262374,0.071741461481705,0.0025546684716211
0.02525,-2.1696095249039,2.0961230435825,0.075227932736306,0.0028061090621753
0.0255,-2.1280085122238,2.0511334978603,0.078717908237306,0.0030702076633587
0.02575,-2.0863405867534,2.0060761825321,0.08221119914449,0.0033470889835721
0.026,-2.0446062669127,1.9609519019685,0.085707631138074,0.0036368822705962
0.02625,-2.00280594388,1.9157613232612,0.089207040449418,0.0039397216027177
0.0265,-1.960939947393,1.8705050726541,0.092709267015032,0.0042557459248719
0.02675,-1.919008577285,1.825183725973,0.096214154576186,0.0045850995614863
0.027,-1.8770121791832,1.7797979349653,0.099721541903625,0.0049279320351953
0.02725,-1.8349511890073,1.7343484496981,0.10323126077868,0.0052843983603161
0.0275,-1.7928261985867,1.6888361960204,0.10674313033557,0.0056546590263486
0.02775,-1.7506380255569,1.6432623509915,0.11025695146416,0.0060388799412364
0.028,-1.7083877931903,1.5976284289161,0.11377250041735,0.0064372322580526
0.02825,-1.6660770230067,1.5519363810253,0.11728952138791,0.0068498920491701
0.0285,-1.6237077435454,1.5061887124146,0.12080771777417,0.0072770397812466
0.02875,-1.5812826126212,1.4603886038167,0.1243267428321,0.0077188596449881
0.029,-1.5388050974417,1.4145401414855,0.12784618323607,0.0081755379961541
0.02925,-1.4962796156919,1.3686484050815,0.13136555092177,0.0086472625468726
0.0295,-1.4537118137436,1.322719838442,0.13488425681587,0.0091342193232812
0.02975,-1.4111087846051,1.2767624079521,0.13840159682177,0.0096365907374751
0.03,-1.3684794653595,1.2307861054987,0.14191671568247,0.010154550646641
0.03025,-1.3258349823518,1.1848032345966,0.14542858279944,0.010688260365413
0.0305,-1.283189223248,1.1388290969393,0.14893594216699,0.011237860719289
0.03075,-1.2405594264443,1.0928825768245,0.15243726668126,0.011803463695228
0.031,-1.1979669747501,1.0469870117178,0.15593069301191,0.0123851402534
0.03125,-1.1554382858391,1.001171088448,0.15941395252464,0.012982905977143
0.0315,-1.1130060336857,0.95547022165917,0.1628842707897,0.013596699962649
0.03175,-1.0707104603215,0.90992789623496,0.16633826695867,0.014226360742324
0.032,-1.0286009574139,0.86459734535164,0.16977183137229,0.014871595213612
0.03225,-0.98673791396465,0.81954356807222,0.17317998265331,0.015531939447347
0.0325,-0.94519449477073,0.77484512439121,0.17655674019306,0.016206716165844
0.03275,-0.90405851301929,0.73059616775362,0.17989498841209,0.016894983975245
0.033,-0.86343385131557,0.68690791872825,0.18318638546206,0.017595486550618
0.03325,-0.82344110521534,0.64390931770048,0.18642133840453,0.018306606138476
0.0335,-0.78421689759446,0.60174625610355,0.18958908732777,0.019026330974865
0.03375,-0.74591132715477,0.56057883216245,0.19267793658943,0.01975224790657
0.034,-0.70868299676301,0.52057595824128,0.19567567409975,0.020481575155982
0.03425,-0.67269193611892,0.48190789920844,0.19857013904563,0.021211236294378
0.0345,-0.63809034745948,0.44473629927844,0.20134994985448,0.021937988270032
0.03475,-0.6050128852857,0.40920390039624,0.20400524208745,0.022658580761195
0.035,-0.57356763985442,0.37542495866537,0.20652833396835,0.023369933195637
0.03525,-0.54382950516591,0.34347823281534,0.20891419138871,0.024069299004617
0.0355,-0.5158369884554,0.31340366135114,0.21116061959181,0.024754391505088
0.03575,-0.48959261281555,0.2852028096945,0.21326818154204,0.025423458129105
0.036,-0.4650665833372,0.25884285089344,0.21523987268941,0.02607529526726
0.03625,-0.44220260445622,0.23426285466599,0.21708064339406,0.026709213517079
0.0365,-0.42092439415627,0.21138064777489,0.2187968861242,0.027324975874942
0.03675,-0.40114234915159,0.19009996793366,0.22039591917158,0.027922713347434
0.037,-0.38275946252753,0.17031682547865,0.2218855363493,0.028502836905528
0.03725,-0.36567589841653,0.15192424028371,0.22327366942924,0.029065962993183
0.0375,-0.34979277144734,0.13481640393381,0.22456810733109,0.02961283969326
0.03775,-0.3350144741044,0.11889099678682,0.22577633391214,0.030144297463622
0.038,-0.32125046996509,0.10405122221094,0.22690539925475,0.03066120166255
0.03825,-0.30841612754422,0.090206604637035,0.22796186782378,0.031164424483127
0.0385,-0.29643318848872,0.077273521448994,0.22895179021454,0.031654821496369
0.03875,-0.28522974393495,0.065175084451258,0.229880713557,0.032133220135428
0.039,-0.27474019488725,0.05384122027019,0.23075368729136,0.032600405844631
0.03925,-0.2649048220954,0.043208096188271,0.23157530246179,0.033057120982967
0.0395,-0.25566949539972,0.03321792338527,0.23234971480656,0.033504058420796
0.03975,-0.24698510982723,0.023818213251292,0.23308069289701,0.033941866216861
0.04,-0.23880722685751,0.014961484462432,0.23377164549269,0.034371145427236
0.04025,-0.23109560182721,0.0066047088279218,0.23442565979138,0.034792453696037
0.0405,-0.22381385140413,-0.0012909468654745,0.23504552597725,0.035206304347986
0.04075,-0.2169289650025,-0.0087607819342781,0.2356337776306,0.035613173787709
0.041,-0.21041100662016,-0.015836821755737,0.23619271381464,0.036013502223364
0.04125,-0.20423286023477,-0.022547999514274,0.23672441728762,0.036407693445838
0.0415,-0.19836981549649,-0.028920784913786,0.23723078941186,0.036796123639629
0.04175,-0.1927994543253,-0.034979096694253,0.23771355543642,0.037179137046802
0.042,-0.18750128535774,-0.040744901498351,0.23817429581531,0.037557055133653
0.04225,-0.18245667525768,-0.046238074513612,0.23861444804983,0.037930171907636
0.0425,-0.17764853145069,-0.05147695882281,0.23903533432029,0.038298763031991
0.04275,-0.17306126259045,-0.056478204337329,0.23943816131332,0.038663081193609
0.043,-0.16868057306955,-0.061257087447311,0.23982403741519,0.039023361027279
0.04325,-0.16449330217,-0.065827747524336,0.24019398582667,0.039379822668796
0.0435,-0.16048741005789,-0.070203014764777,0.24054894287193,0.039732667337682
0.04375,-0.15665175011377,-0.07439489277567,0.24088977872274,0.040082086069598
0.044,-0.15297609835228,-0.078414294206394,0.24121729181344,0.040428253677065
0.04425,-0.14945099829037,-0.082271350202085,0.2415322226473,0.0407713342662
0.0445,-0.14606772085007,-0.085975387340872,0.24183525590736,0.041111480184745
0.04475,-0.14281814739337,-0.089535166964722,0.2421270308189,0.041448836363771
0.045,-0.13969479427095,-0.092958678200837,0.24240813688271,0.041783535645756
0.04525,-0.1366907018867,-0.09625338391462,0.24267912397003,0.042115703377423
0.0455,-0.13379941521673,-0.099426179087553,0.2429405029881,0.042445456195965
0.04575,-0.13101489278401,-0.10248360692387,0.24319275422816,0.042772906167491
0.046,-0.12833154580429,-0.10543163012001,0.24343632209397,0.043098155775521
0.04625,-0.12574414938486,-0.10827585682899,0.24367162344849,0.043421302328855
0.0465,-0.12324783877511,-0.11102147571897,0.24389904707635,0.043742436382425
0.04675,-0.12083802812944,-0.11367348530417,0.24411896145892,0.044061646333499
0.047,-0.11851046875177,-0.11623640863641,0.24433170781439,0.044379012263499
0.04725,-0.11626116729678,-0.11871453636787,0.24453760808325,0.044694610858414
0.0475,-0.11408638037595,-0.12111189159095,0.24473696486687,0.045008514528447
0.04775,-0.11198259549756,-0.12343225020694,0.24493006287483,0.045320791703682
0.048,-0.10994652494405,-0.12567911290922,0.2451171690441,0.045631506111324
0.04825,-0.10797504317151,-0.12785591529137,0.2452985387374,0.045940721148164
0.0485,-0.10606524553537,-0.12996574207818,0.24547440902939,0.04624849368646
0.04875,-0.10421438400731,-0.13201155057954,0.24564500516554,0.046554878746623
0.049,-0.10241986849884,-0.13399612887185,0.24581054005204,0.046859928526831
0.04925,-0.10067925577166,-0.13592210765508,0.24597121510228,0.047163692583492
0.0495,-0.098990239262965,-0.13779197113363,0.24612722101433,0.047466217998019
0.04975,-0.097350639739572,-0.13960806701192,0.24627873848574,0.047767549531101
0.05,-0.095758405797935,-0.14137257314036,0.24642593790054,0.048067728837395
