stress,total_strain
0,0
6.8797190688834,0.00010000499999996
13.758876406772,0.00020002000000019
20.637472210089,0.00030004500000014
27.515506675533,0.00040007999999991
34.392979999637,0.00050012499999996
41.269892378678,0.00060017999999995
48.146244008907,0.00070024499999988
55.022035086583,0.00080031999999997
61.897265807749,0.0009004050000001
68.771936368316,0.0010004999999998
75.646046964262,0.0011006050000001
82.519597791284,0.00120072
89.392589045056,0.0013008449999996
96.265020921483,0.0014009800000001
103.13689361573,0.0015011250000001
110.00820732331,0.00160128
116.8789622396,0.001701445
123.74915855968,0.0018016200000001
130.61879647884,0.001901805
137.48787619202,0.0020019999999999
144.35639789416,0.002102205
151.22436178008,0.0022024199999999
158.09176804461,0.002302645
164.95861688225,0.0024028799999996
171.82490848773,0.0025031249999999
178.69064305547,0.0026033799999999
185.55582077975,0.002703645
192.42044185486,0.0028039199999997
199.28450647504,0.0029042049999999
206.14801483432,0.0030044999999999
213.01096712673,0.0031048050000001
219.8733635461,0.0032051200000001
226.7352042863,0.0033054450000001
233.59648954101,0.00340578
240.45721950388,0.0035061250000002
247.31739436838,0.0036064800000003
254.17701432785,0.0037068450000003
261.03607957569,0.00380722
267.89459030526,0.0039076050000002
274.75254670947,0.0040079999999998
281.60994898162,0.004108405
288.46679731446,0.00420882
295.32309190095,0.004309245
302.17883293379,0.00440968
309.03402060574,0.0045101249999999
315.88865510934,0.0046105799999999
319.52730861837,0.0047110449999997
319.59517370176,0.00481152
319.6630320448,0.0049120049999999
319.73088364893,0.0050125000000001
319.7987285154,0.0051130050000001
319.86656664551,0.0052135200000003
319.93439804074,0.0053140450000001
320.00222270243,0.0054145800000003
320.07004063183,0.0055151250000001
320.13785183038,0.0056156799999998
320.20565629922,0.005716245
320.2734540399,0.0058168200000003
320.34124505367,0.005917405
320.40902934188,0.0060180000000002
320.47680690578,0.0061186049999997
320.5445777468,0.00621922
320.61234186639,0.0063198450000002
320.68009926558,0.0064204799999999
320.74784994594,0.0065211250000001
320.81559391456,0.0066217799999999
320.88333115586,0.0067224449999998
320.95106169092,0.0068231199999999
321.01878550647,0.0069238049999997
321.08650261221,0.0070244999999998
321.15421300593,0.0071252049999998
321.22191669406,0.0072259200000001
321.28961367199,0.007326645
321.35730394044,0.0074273800000002
321.42498750398,0.0075281249999999
321.49266436814,0.00762888
321.56033452413,0.0077296450000001
321.62799797738,0.0078304199999999
321.69565473695,0.0079312050000001
321.76330479029,0.0080319999999999
321.83094814941,0.0081328049999999
321.89858481177,0.00823362
321.96621477967,0.0083344449999999
322.03383805419,0.0084352799999999
322.10145463725,0.0085361249999999
322.16906453029,0.0086369799999998
322.23666773208,0.0087378449999998
322.30426424178,0.0088387199999998
322.37185406745,0.0089396049999998
322.43943720783,0.0090404999999998
322.50701366409,0.0091414049999997
322.57458343854,0.0092423199999999
322.64214652949,0.009343245
322.70970294217,0.0094441799999999
322.77725267132,0.009545125
322.84479572513,0.00964608
322.91233210856,0.0097470449999999
322.97986180781,0.0098480199999999
323.04738483489,0.0099490049999999
323.11490119226,0.01005
323.18241087869,0.010151005
323.2499138953,0.01025202
323.31741023896,0.010353045
323.384899921,0.01045408
323.4523829335,0.010555125
323.51985928407,0.01065618
323.58732896837,0.010757245
323.65479199264,0.01085832
323.72224835638,0.010959405
323.78969806075,0.0110605
323.85714110861,0.011161605
323.92457749997,0.01126272
323.99200723491,0.011363845
324.05943031161,0.01146498
324.12684674323,0.011566125
324.19425651846,0.01166728
324.26165964346,0.011768445
324.32905612042,0.01186962
324.39644595337,0.011970805
324.46382913433,0.012072
324.53120567333,0.012173205
324.59857557169,0.01227442
324.66593882527,0.012375645
324.73329543911,0.01247688
324.80064541062,0.012578125
324.86798874445,0.01267938
324.93532544491,0.012780645
325.00265550482,0.01288192
325.06997893338,0.012983205
325.13729572619,0.0130845
325.20460589192,0.013185805
325.27190942436,0.01328712
325.33920633126,0.013388445
325.4064966059,0.01348978
325.47378025234,0.013591125
325.54105727656,0.01369248
325.60832767749,0.013793845
325.67559145493,0.01389522
325.74284861197,0.013996605
325.81009914845,0.014098
325.87734306488,0.014199405
325.94458036491,0.01430082
326.01181105056,0.014402245
326.07903512159,0.01450368
326.14625257792,0.014605125
326.21346342097,0.01470658
326.28066765403,0.014808045
326.34786527731,0.01490952
326.41505629295,0.015011005
326.48224070158,0.0151125
326.54941850458,0.015214005
326.61658970327,0.01531552
326.68375430391,0.015417045
326.75091229453,0.01551858
326.8180636878,0.015620125
326.88520848024,0.01572168
326.95234667727,0.015823245
327.01947827797,0.01592482
327.08660328395,0.016026405
327.15372169399,0.016128
327.22083351044,0.016229605
327.28793874037,0.01633122
327.355037376,0.016432845
327.42212942193,0.01653448
327.489214883,0.016636125
327.55629375811,0.01673778
327.6233660476,0.016839445
327.69043175222,0.01694112
327.75749087611,0.017042805
327.82454341993,0.0171445
327.891589385,0.017246205
327.95862876901,0.01734792
328.02566157531,0.017449645
328.09268780536,0.01755138
328.15970746593,0.017653125
328.2267205477,0.01775488
328.29372705877,0.017856645
328.36072700018,0.01795842
328.42772037162,0.018060205
328.49470717667,0.018162
328.56168741534,0.018263805
328.62866108501,0.01836562
328.69562819028,0.018467445
328.76258873409,0.01856928
328.82954272039,0.018671125
328.89649013954,0.01877298
328.9634310035,0.018874845
329.03036530817,0.01897672
329.09729305903,0.019078605
329.16421425436,0.0191805
329.2311288922,0.019282405
329.29803697865,0.01938432
329.36493851529,0.019486245
329.43183349944,0.01958818
329.49872193739,0.019690125
329.56560382652,0.01979208
329.63247917036,0.019894045
329.69934796933,0.01999602
329.76621022284,0.020098005
329.83306593541,0.0202
329.89991510622,0.020302005
329.96675773885,0.02040402
330.03359383133,0.020506045
330.10042338665,0.02060808
330.16724640507,0.020710125
330.23406289088,0.02081218
330.30087284103,0.020914245
330.36767626328,0.02101632
330.43447315206,0.021118405
330.50126350925,0.0212205
330.56804734103,0.021322605
330.63482464429,0.02142472
330.70159542148,0.021526845
330.7683596768,0.02162898
330.83511740581,0.021731125
330.9018686128,0.02183328
330.96861330182,0.021935445
331.03535147017,0.02203762
331.10208312013,0.022139805
331.16880825441,0.022242
331.23552687199,0.022344205
331.3022389741,0.02244642
331.36894456571,0.022548645
331.43564364463,0.02265088
331.50233621288,0.022753125
331.56902227262,0.02285538
331.63570182464,0.022957645
331.70237486835,0.02305992
331.76904140851,0.023162205
331.83570144353,0.0232645
331.90235497478,0.023366805
331.96900200909,0.02346912
332.0356425391,0.023571445
332.10227656786,0.02367378
332.16890410201,0.023776125
332.23552514128,0.02387848
332.30213968358,0.023980845
332.3687477309,0.02408322
332.43534928553,0.024185605
332.5019443493,0.024288
332.56853292526,0.024390405
332.63511500968,0.02449282
332.7016906085,0.024595245
332.7682597187,0.02469768
332.83482234406,0.024800125
332.90137848717,0.02490258
332.9679281495,0.025005045
333.03447132784,0.02510752
333.1010080258,0.025210005
333.16753824284,0.0253125
333.23406198647,0.025415005
333.30057925206,0.02551752
333.36709004313,0.025620045
333.43359436129,0.02572258
333.50009220656,0.025825125
333.56658357998,0.02592768
333.63306848404,0.026030245
333.69954691922,0.02613282
333.76601888661,0.026235405
333.83248438654,0.026338
333.89894342805,0.026440605
333.96539599983,0.02654322
334.03184210813,0.026645845
334.09828176242,0.02674848
334.16471494842,0.026851125
334.23114167738,0.02695378
334.29756195814,0.027056445
334.36397578612,0.02715912
334.4303831334,0.027261805
334.49678404119,0.0273645
334.56317849859,0.027467205
334.62956652426,0.02756992
334.6959480604,0.027672645
334.76232316802,0.02777538
334.82869182958,0.027878125
334.89505404383,0.02798088
334.96140981449,0.028083645
335.0277591404,0.02818642
335.09410202225,0.028289205
335.16043846648,0.028392
335.22676846871,0.028494805
335.2930920342,0.02859762
335.35940916017,0.028700445
335.42571985041,0.02880328
335.49202410741,0.028906125
335.55832193217,0.02900898
335.62461332363,0.029111845
335.69089828088,0.02921472
335.75717681033,0.029317605
335.8234489116,0.0294205
335.88971458521,0.029523405
335.95597383639,0.02962632
336.02222665768,0.029729245
336.08847305527,0.02983218
336.15471303294,0.029935125
336.22094658724,0.03003808
336.2871737268,0.030141045
336.35339444793,0.03024402
336.4196087431,0.030347005
336.48581662842,0.03045
336.55201809644,0.030553005
336.61821315345,0.03065602
336.6844017991,0.030759045
336.75058403002,0.03086208
336.81675985226,0.030965125
336.88292926984,0.03106818
336.94909227441,0.031171245
337.01524887518,0.03127432
337.08139906925,0.031377405
337.14754286153,0.0314805
337.21368025204,0.031583605
337.27981124001,0.03168672
337.34593582933,0.031789845
337.41205401998,0.03189298
337.47816581429,0.031996125
337.54427120794,0.03209928
337.61037021198,0.032202445
337.67646281681,0.03230562
337.74254903367,0.032408805
337.80862885723,0.032512
337.87470229246,0.032615205
337.94076933996,0.03271842
338.00682999463,0.032821645
338.07288426615,0.03292488
338.13893215225,0.033028125
338.20497365428,0.03313138
338.271008776,0.033234645
338.33703751378,0.03333792
338.40305987475,0.033441205
338.46907585079,0.0335445
338.53508545322,0.033647805
338.60108867954,0.03375112
338.66708553031,0.033854445
338.73307600715,0.03395778
338.79906010943,0.034061125
338.86503784281,0.03416448
338.93100920441,0.034267845
338.99697419777,0.03437122
339.06293282262,0.034474605
339.12888508113,0.034578
339.1948309747,0.034681405
339.26077050376,0.03478482
339.32670367031,0.034888245
339.39263047643,0.03499168
339.45855091836,0.035095125
339.52446500628,0.03519858
339.59037273292,0.035302045
339.65627410267,0.03540552
339.72216911579,0.035509005
339.78805777631,0.0356125
339.85394008462,0.035716005
339.91981604072,0.03581952
339.98568564877,0.035923045
340.05154890128,0.03602658
340.11740580892,0.036130125
340.18325636968,0.03623368
340.24910058496,0.036337245
340.3149384557,0.03644082
340.3807699826,0.036544405
340.44659516859,0.036648
340.51241401353,0.036751605
340.5782265175,0.03685522
340.64403268402,0.036958845
340.70983251253,0.03706248
340.77562600707,0.037166125
340.84141316569,0.03726978
340.90719399179,0.037373445
340.97296848454,0.03747712
341.03873664613,0.037580805
341.1044984781,0.0376845
341.1702539816,0.037788205
341.23600315738,0.03789192
341.30174600806,0.037995645
341.3674825333,0.03809938
341.43321273539,0.038203125
341.49893661309,0.03830688
341.56465417227,0.038410645
341.63036540841,0.03851442
341.69607032718,0.038618205
341.76176892829,0.038722
341.82746121301,0.038825805
341.89314718358,0.03892962
341.95882683927,0.039033445
342.02450018081,0.03913728
342.09016721197,0.039241125
342.15582793441,0.03934498
342.22148234719,0.039448845
342.28713044918,0.03955272
342.35277224639,0.039656605
342.41840773795,0.0397605
342.48403692479,0.039864405
342.54965980979,0.03996832
342.61527639297,0.040072245
342.68088667502,0.04017618
342.74649066014,0.040280125
342.8120883409,0.04038408
342.87767972936,0.040488045
342.94326482135,0.04059202
343.00884361705,0.040696005
343.07441611951,0.0408
343.13998233065,0.040904005
343.20554225139,0.04100802
343.2710958818,0.041112045
343.3366432238,0.04121608
343.402184279,0.041320125
343.46771904772,0.04142418
343.53324752936,0.041528245
343.59876973094,0.04163232
343.66428564701,0.041736405
343.7297952839,0.0418405
343.79529863984,0.041944605
343.86079571901,0.04204872
343.92628651638,0.042152845
343.99177104131,0.04225698
344.05724928684,0.042361125
344.12272126089,0.04246528
344.18818696222,0.042569445
344.25364639239,0.04267362
344.31909954898,0.042777805
344.38454643749,0.042882
344.4499870602,0.042986205
344.51542141309,0.04309042
344.58084950255,0.043194645
344.64627132617,0.04329888
344.71168688724,0.043403125
344.7770961872,0.04350738
344.84249922664,0.043611645
344.90789600409,0.04371592
344.97328652334,0.043820205
345.03867078916,0.0439245
345.10404879381,0.044028805
345.16942054633,0.04413312
345.23478604387,0.044237445
345.30014528934,0.04434178
345.36549828314,0.044446125
345.43084502746,0.04455048
345.49618552316,0.044654845
345.56151977166,0.04475922
345.6268477714,0.044863605
345.69216952846,0.044968
345.75748503941,0.045072405
345.82279430847,0.04517682
345.88809733718,0.045281245
345.95339412325,0.04538568
346.01868467091,0.045490125
346.08396898189,0.04559458
346.14924705486,0.045699045
346.21451888956,0.04580352
346.27978449529,0.045908005
346.34504385985,0.0460125
346.41029699824,0.046117005
346.47554390538,0.04622152
346.54078457999,0.046326045
346.60601902654,0.04643058
346.67124724537,0.046535125
346.73646924027,0.04663968
346.80168500914,0.046744245
346.86689455403,0.04684882
346.93209787642,0.046953405
346.9972949764,0.047058
347.06248585851,0.047162605
347.12767051927,0.04726722
347.19284896216,0.047371845
347.25802118984,0.04747648
347.32318720124,0.047581125
347.38834699876,0.04768578
347.45350058454,0.047790445
347.51864795495,0.04789512
347.58378911546,0.047999805
347.64892406822,0.0481045
347.7140528105,0.048209205
347.77917534666,0.04831392
347.84429167705,0.048418645
347.90940180177,0.04852338
347.97450572279,0.048628125
348.03960344322,0.04873288
348.10469496245,0.048837645
348.1697802789,0.04894242
348.23485939881,0.049047205
348.29993231768,0.049152
348.36499904225,0.049256805
348.43005957287,0.04936162
348.49511390941,0.049466445
348.56016204888,0.04957128
348.62520399701,0.049676125
348.69023975825,0.04978098
348.75526932868,0.049885845
348.82029270963,0.04999072
348.88530990253,0.050095605
348.95032091154,0.0502005
349.01532573575,0.050305405
349.08032437611,0.05041032
349.14531683266,0.050515245
349.21030311016,0.05062018
349.2752832082,0.050725125000001
349.34025712705,0.05083008
349.40522486293,0.050935045
349.47018642749,0.05104002
349.5351418142,0.051145005
349.60009103012,0.05125
